Exercise Name,Primary Muscle Group(s),Calories Burned per min / set (avg range),Category,Equipment Required,Description,Difficulty Level
Chest Twist,Chest,6-18 kcal/min,Mobility,Bodyweight,"This is a mobility exercise that primarily targets the chest. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Glutes Twist,Glutes,13-11 kcal/min,Mobility,Medicine Ball,"This is a mobility exercise that primarily targets the glutes. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Shoulders Mountain Climber,Shoulders,3-13 kcal/min,Cardio,Cable,"This is a cardio exercise that primarily targets the shoulders. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Shoulders Wall Slide,Shoulders,3-17 kcal/min,Rehab,Bodyweight,"This is a rehab exercise that primarily targets the shoulders. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Quadriceps V-Up,Quadriceps,6-11 kcal/min,Core,None,"This is a core exercise that primarily targets the quadriceps. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Biceps Clean,Biceps,6-17 kcal/min,Power,Resistance Band,"This is a power exercise that primarily targets the biceps. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Full Body Jump Rope,Full Body,5-15 kcal/min,Cardio,Cable,"This is a cardio exercise that primarily targets the full body. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Biceps Pilates Move,Biceps,9-17 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the biceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Legs Band Walk,Legs,11-11 kcal/min,Rehab,Cable,"This is a rehab exercise that primarily targets the legs. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Triceps Leg Raise,Triceps,3-11 kcal/min,Core,Cable,"This is a core exercise that primarily targets the triceps. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Shoulders Press,Shoulders,15-15 kcal/min,Strength,Medicine Ball,"This is a strength exercise that primarily targets the shoulders. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Triceps Rowing,Triceps,6-13 kcal/min,Cardio,Kettlebell,"This is a cardio exercise that primarily targets the triceps. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Core Russian Twist,Core,4-11 kcal/min,Core,None,"This is a core exercise that primarily targets the core. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Back Russian Twist,Back,14-14 kcal/min,Core,Dumbbell,"This is a core exercise that primarily targets the back. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Biceps Squat,Biceps,6-18 kcal/min,Strength,None,"This is a strength exercise that primarily targets the biceps. It is performed using none and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Full Body Swing,Full Body,12-13 kcal/min,Power,Machine,"This is a power exercise that primarily targets the full body. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Yoga Flow,Chest,8-11 kcal/min,Mobility,Resistance Band,"This is a mobility exercise that primarily targets the chest. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Glutes Heel Raise,Glutes,3-20 kcal/min,Rehab,Kettlebell,"This is a rehab exercise that primarily targets the glutes. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Raise,Chest,5-10 kcal/min,Strength,Bodyweight,"This is a strength exercise that primarily targets the chest. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Core Scapular Retraction,Core,7-10 kcal/min,Rehab,Barbell,"This is a rehab exercise that primarily targets the core. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Quadriceps Curl,Quadriceps,7-10 kcal/min,Strength,Barbell,"This is a strength exercise that primarily targets the quadriceps. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Core Fly,Core,15-14 kcal/min,Strength,Cable,"This is a strength exercise that primarily targets the core. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Biceps Squat,Biceps,3-11 kcal/min,Strength,Kettlebell,"This is a strength exercise that primarily targets the biceps. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Shoulders Stretch,Shoulders,3-15 kcal/min,Mobility,Medicine Ball,"This is a mobility exercise that primarily targets the shoulders. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Calves Face Pull,Calves,9-19 kcal/min,Rehab,Cable,"This is a rehab exercise that primarily targets the calves. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Biceps Jerk,Biceps,14-16 kcal/min,Power,Resistance Band,"This is a power exercise that primarily targets the biceps. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Legs Flutter Kick,Legs,3-11 kcal/min,Core,Resistance Band,"This is a core exercise that primarily targets the legs. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Chest Burpees,Chest,6-16 kcal/min,Cardio,Cable,"This is a cardio exercise that primarily targets the chest. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Biceps Bridge,Biceps,8-18 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the biceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Full Body Face Pull,Full Body,10-12 kcal/min,Rehab,Kettlebell,"This is a rehab exercise that primarily targets the full body. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Back Ankle Mobility,Back,7-15 kcal/min,Rehab,None,"This is a rehab exercise that primarily targets the back. It is performed using none and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Hamstrings Sit-Up,Hamstrings,15-17 kcal/min,Core,Medicine Ball,"This is a core exercise that primarily targets the hamstrings. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Biceps Cat-Cow,Biceps,5-15 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the biceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Hamstrings Rowing,Hamstrings,6-11 kcal/min,Cardio,Barbell,"This is a cardio exercise that primarily targets the hamstrings. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Hamstrings Hollow Hold,Hamstrings,6-15 kcal/min,Core,Kettlebell,"This is a core exercise that primarily targets the hamstrings. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Triceps Hollow Hold,Triceps,5-11 kcal/min,Core,Bodyweight,"This is a core exercise that primarily targets the triceps. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Hamstrings Windshield Wiper,Hamstrings,13-18 kcal/min,Core,Cable,"This is a core exercise that primarily targets the hamstrings. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Core Hip Flexor Stretch,Core,13-13 kcal/min,Rehab,None,"This is a rehab exercise that primarily targets the core. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Full Body Push Press,Full Body,10-20 kcal/min,Power,Cable,"This is a power exercise that primarily targets the full body. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Triceps Pilates Move,Triceps,7-13 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the triceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Shoulders Cycle,Shoulders,13-18 kcal/min,Cardio,Medicine Ball,"This is a cardio exercise that primarily targets the shoulders. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Mobility/Stretch Deadlift,Mobility/Stretch,5-17 kcal/min,Strength,Resistance Band,"This is a strength exercise that primarily targets the mobility/stretch. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Quadriceps Row,Quadriceps,6-13 kcal/min,Strength,Resistance Band,"This is a strength exercise that primarily targets the quadriceps. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Full Body Pilates Move,Full Body,9-10 kcal/min,Mobility,Resistance Band,"This is a mobility exercise that primarily targets the full body. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Back Ankle Mobility,Back,6-10 kcal/min,Rehab,Medicine Ball,"This is a rehab exercise that primarily targets the back. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Mobility/Stretch Jerk,Mobility/Stretch,15-18 kcal/min,Power,Cable,"This is a power exercise that primarily targets the mobility/stretch. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Chest Bridge,Chest,3-10 kcal/min,Mobility,Bodyweight,"This is a mobility exercise that primarily targets the chest. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Glutes Box Jump,Glutes,5-20 kcal/min,Cardio,Bodyweight,"This is a cardio exercise that primarily targets the glutes. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Core Twist,Core,6-13 kcal/min,Mobility,Resistance Band,"This is a mobility exercise that primarily targets the core. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Quadriceps Clamshell,Quadriceps,7-19 kcal/min,Rehab,Bodyweight,"This is a rehab exercise that primarily targets the quadriceps. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Biceps Row,Biceps,11-20 kcal/min,Strength,Cable,"This is a strength exercise that primarily targets the biceps. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Triceps Bird Dog,Triceps,4-15 kcal/min,Rehab,Machine,"This is a rehab exercise that primarily targets the triceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Full Body Sprint,Full Body,11-16 kcal/min,Cardio,Bodyweight,"This is a cardio exercise that primarily targets the full body. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Core Ankle Mobility,Core,3-15 kcal/min,Rehab,None,"This is a rehab exercise that primarily targets the core. It is performed using none and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Legs Wall Slide,Legs,5-14 kcal/min,Rehab,Medicine Ball,"This is a rehab exercise that primarily targets the legs. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Chest Face Pull,Chest,7-20 kcal/min,Rehab,Bodyweight,"This is a rehab exercise that primarily targets the chest. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Hamstrings Leg Raise,Hamstrings,7-16 kcal/min,Core,Bodyweight,"This is a core exercise that primarily targets the hamstrings. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Calves Pull,Calves,15-11 kcal/min,Strength,None,"This is a strength exercise that primarily targets the calves. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Hamstrings Fly,Hamstrings,12-13 kcal/min,Strength,Barbell,"This is a strength exercise that primarily targets the hamstrings. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Back Stretch,Back,9-18 kcal/min,Mobility,Kettlebell,"This is a mobility exercise that primarily targets the back. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Legs Row,Legs,8-12 kcal/min,Strength,Machine,"This is a strength exercise that primarily targets the legs. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Calves Scapular Retraction,Calves,6-18 kcal/min,Rehab,Dumbbell,"This is a rehab exercise that primarily targets the calves. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Full Body Side Bend,Full Body,3-19 kcal/min,Core,Machine,"This is a core exercise that primarily targets the full body. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Calves Push Press,Calves,14-14 kcal/min,Power,Dumbbell,"This is a power exercise that primarily targets the calves. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Quadriceps Roll,Quadriceps,14-20 kcal/min,Mobility,Kettlebell,"This is a mobility exercise that primarily targets the quadriceps. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Hamstrings Rotation,Hamstrings,12-15 kcal/min,Mobility,Cable,"This is a mobility exercise that primarily targets the hamstrings. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Calves Box Jump,Calves,7-18 kcal/min,Cardio,Cable,"This is a cardio exercise that primarily targets the calves. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Calves Row,Calves,14-10 kcal/min,Strength,Dumbbell,"This is a strength exercise that primarily targets the calves. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Triceps Clamshell,Triceps,5-12 kcal/min,Rehab,Dumbbell,"This is a rehab exercise that primarily targets the triceps. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Core Rowing,Core,14-10 kcal/min,Cardio,Cable,"This is a cardio exercise that primarily targets the core. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Full Body Windshield Wiper,Full Body,10-11 kcal/min,Core,Machine,"This is a core exercise that primarily targets the full body. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Full Body Cat-Cow,Full Body,14-17 kcal/min,Mobility,Dumbbell,"This is a mobility exercise that primarily targets the full body. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Biceps Ankle Mobility,Biceps,13-18 kcal/min,Rehab,Barbell,"This is a rehab exercise that primarily targets the biceps. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Shoulders Twist,Shoulders,8-13 kcal/min,Mobility,Cable,"This is a mobility exercise that primarily targets the shoulders. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Mobility/Stretch Burpees,Mobility/Stretch,3-12 kcal/min,Cardio,Barbell,"This is a cardio exercise that primarily targets the mobility/stretch. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Glutes Squat,Glutes,3-17 kcal/min,Strength,Cable,"This is a strength exercise that primarily targets the glutes. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Chest Raise,Chest,12-15 kcal/min,Strength,Cable,"This is a strength exercise that primarily targets the chest. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Glutes Flutter Kick,Glutes,7-19 kcal/min,Core,Medicine Ball,"This is a core exercise that primarily targets the glutes. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Mobility/Stretch Wall Slide,Mobility/Stretch,14-14 kcal/min,Rehab,Machine,"This is a rehab exercise that primarily targets the mobility/stretch. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Glutes Pilates Move,Glutes,12-12 kcal/min,Mobility,Barbell,"This is a mobility exercise that primarily targets the glutes. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Biceps Reach,Biceps,7-13 kcal/min,Mobility,None,"This is a mobility exercise that primarily targets the biceps. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Core Cat-Cow,Core,3-20 kcal/min,Mobility,Dumbbell,"This is a mobility exercise that primarily targets the core. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Full Body Elliptical,Full Body,9-14 kcal/min,Cardio,Bodyweight,"This is a cardio exercise that primarily targets the full body. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Biceps Burpees,Biceps,3-17 kcal/min,Cardio,Medicine Ball,"This is a cardio exercise that primarily targets the biceps. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Quadriceps Extension,Quadriceps,8-10 kcal/min,Strength,Dumbbell,"This is a strength exercise that primarily targets the quadriceps. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Quadriceps Deadlift,Quadriceps,5-10 kcal/min,Strength,Medicine Ball,"This is a strength exercise that primarily targets the quadriceps. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Biceps Hip Flexor Stretch,Biceps,8-11 kcal/min,Rehab,Bodyweight,"This is a rehab exercise that primarily targets the biceps. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Extension,Chest,9-17 kcal/min,Strength,Resistance Band,"This is a strength exercise that primarily targets the chest. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Legs Band Walk,Legs,15-10 kcal/min,Rehab,None,"This is a rehab exercise that primarily targets the legs. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Core Dip,Core,9-11 kcal/min,Strength,Kettlebell,"This is a strength exercise that primarily targets the core. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Biceps V-Up,Biceps,8-11 kcal/min,Core,Machine,"This is a core exercise that primarily targets the biceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Triceps Yoga Flow,Triceps,10-17 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the triceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Glutes Sprint,Glutes,6-13 kcal/min,Cardio,Machine,"This is a cardio exercise that primarily targets the glutes. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Core Reach,Core,6-20 kcal/min,Mobility,Bodyweight,"This is a mobility exercise that primarily targets the core. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Hamstrings Jerk,Hamstrings,8-11 kcal/min,Power,Kettlebell,"This is a power exercise that primarily targets the hamstrings. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Calves Ankle Mobility,Calves,3-10 kcal/min,Rehab,Bodyweight,"This is a rehab exercise that primarily targets the calves. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Legs Leg Raise,Legs,11-14 kcal/min,Core,None,"This is a core exercise that primarily targets the legs. It is performed using none and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Full Body Rotation,Full Body,7-20 kcal/min,Mobility,Bodyweight,"This is a mobility exercise that primarily targets the full body. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Mobility/Stretch Russian Twist,Mobility/Stretch,14-19 kcal/min,Core,Bodyweight,"This is a core exercise that primarily targets the mobility/stretch. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Mobility/Stretch Swing,Mobility/Stretch,3-19 kcal/min,Power,Kettlebell,"This is a power exercise that primarily targets the mobility/stretch. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Legs Yoga Flow,Legs,4-17 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the legs. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Glutes Run,Glutes,10-10 kcal/min,Cardio,Cable,"This is a cardio exercise that primarily targets the glutes. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Glutes Side Bend,Glutes,15-13 kcal/min,Core,Cable,"This is a core exercise that primarily targets the glutes. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Triceps Bird Dog,Triceps,6-18 kcal/min,Rehab,None,"This is a rehab exercise that primarily targets the triceps. It is performed using none and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Biceps Stretch,Biceps,5-13 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the biceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Legs Extension,Legs,15-12 kcal/min,Strength,Barbell,"This is a strength exercise that primarily targets the legs. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Triceps Extension,Triceps,3-13 kcal/min,Strength,Barbell,"This is a strength exercise that primarily targets the triceps. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Core Broad Jump,Core,11-14 kcal/min,Power,None,"This is a power exercise that primarily targets the core. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Hamstrings Glute Bridge,Hamstrings,3-11 kcal/min,Rehab,Kettlebell,"This is a rehab exercise that primarily targets the hamstrings. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Full Body Stretch,Full Body,5-14 kcal/min,Mobility,Kettlebell,"This is a mobility exercise that primarily targets the full body. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Chest Heel Raise,Chest,15-10 kcal/min,Rehab,Machine,"This is a rehab exercise that primarily targets the chest. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Triceps Scapular Retraction,Triceps,12-13 kcal/min,Rehab,Kettlebell,"This is a rehab exercise that primarily targets the triceps. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Shoulders Band Walk,Shoulders,10-16 kcal/min,Rehab,Barbell,"This is a rehab exercise that primarily targets the shoulders. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Core Stretch,Core,5-12 kcal/min,Mobility,Cable,"This is a mobility exercise that primarily targets the core. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Shoulders Sit-Up,Shoulders,9-18 kcal/min,Core,Bodyweight,"This is a core exercise that primarily targets the shoulders. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Glutes Run,Glutes,14-17 kcal/min,Cardio,Resistance Band,"This is a cardio exercise that primarily targets the glutes. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Glutes Scapular Retraction,Glutes,8-10 kcal/min,Rehab,Machine,"This is a rehab exercise that primarily targets the glutes. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Chest Plank,Chest,4-18 kcal/min,Core,Machine,"This is a core exercise that primarily targets the chest. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Calves Box Jump,Calves,6-12 kcal/min,Cardio,None,"This is a cardio exercise that primarily targets the calves. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Legs Cat-Cow,Legs,10-12 kcal/min,Mobility,None,"This is a mobility exercise that primarily targets the legs. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Calves Bridge,Calves,10-17 kcal/min,Mobility,Kettlebell,"This is a mobility exercise that primarily targets the calves. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Biceps Step-Up,Biceps,7-16 kcal/min,Cardio,Machine,"This is a cardio exercise that primarily targets the biceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Chest Pose,Chest,10-14 kcal/min,Mobility,Kettlebell,"This is a mobility exercise that primarily targets the chest. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Chest Hip Flexor Stretch,Chest,9-16 kcal/min,Rehab,Medicine Ball,"This is a rehab exercise that primarily targets the chest. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
